구어	klue-dp-v1_dev_01000_airbnb	재방문 의사가 있을 만큼 너무 멋진 곳입니다.	재/XPN*방문/NNG 의사/NNG*가/JKS 있/VA*을/ETM 만큼/NNB 너무/MAG 멋지/VA+ㄴ/ETM 곳/NNG*이/VCP+ㅂ/EF*니다/EF*./SF	재/XPN*방문/NNG 의사/NNG*가/JKS 있/VA*을/ETM 만큼/NNB 너무/MAG 멋진/VA:DIC 곳/NNG*입/VCP:DIC*니다/EF*./SF	재/B-XPN 방/B-NNG 문/I-NNG @B@ 의/B-NNG 사/I-NNG 가/B-JKS @B@ 있/B-VA 을/B-ETM @B@ 만/B-NNB 큼/I-NNB @B@ 너/B-MAG 무/I-MAG @B@ 멋/B-VA 진/I-VA:DIC @B@ 곳/B-NNG 입/B-VCP:DIC 니/I-EF 다/I-EF ./B-SF	진@I-VA:DIC=지/VA+ㄴ/ETM 입|니/EF@B-VCP:DIC=이/VCP+ㅂ/EF	-
구어	klue-dp-v1_dev_01001_airbnb	고풍스러운 내부 인테리어가 참 좋았습니다.	고풍/NNG*스럽/XSA*ㄴ/ETM 내부/NNG 인테리어/NNG*가/JKS 참/MAG 좋/VA*았/EP*습니다/EF*./SF	고풍/NNG*스러/XSA:DIC*운/ETM:DIC 내부/NNG 인테리어/NNG*가/JKS 참/MAG 좋/VA*았/EP*습니다/EF*./SF	고/B-NNG 풍/I-NNG 스/B-XSA 러/I-XSA:DIC 운/B-ETM:DIC @B@ 내/B-NNG 부/I-NNG @B@ 인/B-NNG 테/I-NNG 리/I-NNG 어/I-NNG 가/B-JKS @B@ 참/B-MAG @B@ 좋/B-VA 았/B-EP 습/B-EF 니/I-EF 다/I-EF ./B-SF	러운@I-XSA:DIC=럽/XSA*ㄴ/ETM	-
구어	klue-dp-v1_dev_01002_airbnb	와이키키 지역에서는 호텔보다 이 숙소에 머물렀을 때가 제일 좋았네요.	와이키키/NNP 지역/NNG*에서/JKB*는/JX 호텔/NNG*보다/JKB 이/MM 숙소/NNG*에/JKB 머무르/VV+었/EP*을/ETM 때/NNG*가/JKS 제일/MAG 좋/VA*았/EP*네/EF*요/JX*./SF	와이키키/NNP 지역/NNG*에서/JKB*는/JX 호텔/NNG*보다/JKB 이/MM 숙소/NNG*에/JKB 머물렀/VV:DIC*을/ETM 때/NNG*가/JKS 제일/MAG 좋/VA*았/EP*네/EF*요/JX*./SF	와/B-NNP 이/I-NNP 키/I-NNP 키/I-NNP @B@ 지/B-NNG 역/I-NNG 에/B-JKB 서/I-JKB 는/B-JX @B@ 호/B-NNG 텔/I-NNG 보/B-JKB 다/I-JKB @B@ 이/B-MM @B@ 숙/B-NNG 소/I-NNG 에/B-JKB @B@ 머/B-VV 물/I-VV:DIC 렀/I-VV:DIC 을/B-ETM @B@ 때/B-NNG 가/B-JKS @B@ 제/B-MAG 일/I-MAG @B@ 좋/B-VA 았/B-EP 네/B-EF 요/B-JX ./B-SF	물렀|을/ETM@I-VV:DIC=무르/VV*었/EP	-
구어	klue-dp-v1_dev_01003_airbnb	다만 방 자체에 문 잠그는게 없어서 약간 불안한 정도?	다만/MAG 방/NNG 자체/NNG*에/JKB 문/NNG 잠그/VV*는/ETM*것/NNB+이/JKS 없/VA*어서/EC 약간/MAG 불안/NNG*하/XSA+ㄴ/ETM 정도/NNG*?/SF	다만/MAG 방/NNG 자체/NNG*에/JKB 문/NNG 잠그/VV*는/ETM*게/NNB:DIC 없/VA*어서/EC 약간/MAG 불안/NNG*한/XSA:DIC 정도/NNG*?/SF	다/B-MAG 만/I-MAG @B@ 방/B-NNG @B@ 자/B-NNG 체/I-NNG 에/B-JKB @B@ 문/B-NNG @B@ 잠/B-VV 그/I-VV 는/B-ETM 게/B-NNB:DIC @B@ 없/B-VA 어/B-EC 서/I-EC @B@ 약/B-MAG 간/I-MAG @B@ 불/B-NNG 안/I-NNG 한/B-XSA:DIC @B@ 정/B-NNG 도/I-NNG ?/B-SF	게@B-NNB:DIC=것/NNB+이/JKS 한@B-XSA:DIC=하/XSA+ㄴ/ETM	-
구어	klue-dp-v1_dev_01004_airbnb	3명이 모두 각자 자기 침대를 쓸 수 있었습니다.	3/SN*명/NNB*이/JKS 모두/MAG 각자/MAG 자기/NP 침대/NNG*를/JKO 쓰/VV+ㄹ/ETM 수/NNB 있/VA*었/EP*습니다/EF*./SF	3/SN*명/NNB*이/JKS 모두/MAG 각자/MAG 자기/NP 침대/NNG*를/JKO 쓸/VV:DIC 수/NNB 있/VA*었/EP*습니다/EF*./SF	3/B-SN 명/B-NNB 이/B-JKS @B@ 모/B-MAG 두/I-MAG @B@ 각/B-MAG 자/I-MAG @B@ 자/B-NP 기/I-NP @B@ 침/B-NNG 대/I-NNG 를/B-JKO @B@ 쓸/B-VV:DIC @B@ 수/B-NNB @B@ 있/B-VA 었/B-EP 습/B-EF 니/I-EF 다/I-EF ./B-SF	쓸@B-VV:DIC=쓰/VV+ㄹ/ETM	-
구어	klue-dp-v1_dev_01005_airbnb	집 앞에 학교가 있어서 낮에는 수업 소리가 들립니다.	집/NNG 앞/NNG*에/JKB 학교/NNG*가/JKS 있/VA*어서/EC 낮/NNG*에/JKB*는/JX 수업/NNG 소리/NNG*가/JKS 들리/VV+ㅂ/EF*니다/EF*./SF	집/NNG 앞/NNG*에/JKB 학교/NNG*가/JKS 있/VA*어서/EC 낮/NNG*에/JKB*는/JX 수업/NNG 소리/NNG*가/JKS 들립/VV:DIC*니다/EF*./SF	집/B-NNG @B@ 앞/B-NNG 에/B-JKB @B@ 학/B-NNG 교/I-NNG 가/B-JKS @B@ 있/B-VA 어/B-EC 서/I-EC @B@ 낮/B-NNG 에/B-JKB 는/B-JX @B@ 수/B-NNG 업/I-NNG @B@ 소/B-NNG 리/I-NNG 가/B-JKS @B@ 들/B-VV 립/I-VV:DIC 니/I-EF 다/I-EF ./B-SF	립|니/EF@I-VV:DIC=리/VV+ㅂ/EF	-
구어	klue-dp-v1_dev_01006_airbnb	하지만 주인할머니께서 매우 배려심 넘치시고 사진과 같이 방이 예뻐요!	하지만/MAJ 주인/NNG*할머니/NNG*께서/JKS 매우/MAG 배려심/NNG 넘치/VV*시/EP*고/EC 사진/NNG*과/JKB 같이/MAG 방/NNG*이/JKS 예쁘/VA+어/EF*요/EF*!/SF	하지만/MAJ 주인/NNG*할머니/NNG*께서/JKS 매우/MAG 배려심/NNG 넘치/VV*시/EP*고/EC 사진/NNG*과/JKB 같이/MAG 방/NNG*이/JKS 예뻐/VA:DIC*요/EF*!/SF	하/B-MAJ 지/I-MAJ 만/I-MAJ @B@ 주/B-NNG 인/I-NNG 할/B-NNG 머/I-NNG 니/I-NNG 께/B-JKS 서/I-JKS @B@ 매/B-MAG 우/I-MAG @B@ 배/B-NNG 려/I-NNG 심/I-NNG @B@ 넘/B-VV 치/I-VV 시/B-EP 고/B-EC @B@ 사/B-NNG 진/I-NNG 과/B-JKB @B@ 같/B-MAG 이/I-MAG @B@ 방/B-NNG 이/B-JKS @B@ 예/B-VA 뻐/I-VA:DIC 요/I-EF !/B-SF	뻐|요/EF@I-VA:DIC=쁘/VA+어/EF	-
구어	klue-dp-v1_dev_01007_airbnb	주방을 주인과 거실을 주인과함께 사용합니다.	주방/NNG*을/JKO 주인/NNG*과/JKB 거실/NNG*을/JKO 주인/NNG*과/JKB*함께/MAG 사용/NNG*하/XSV+ㅂ/EF*니다/EF*./SF	주방/NNG*을/JKO 주인/NNG*과/JKB 거실/NNG*을/JKO 주인/NNG*과/JKB*함께/MAG 사용/NNG*합/XSV:DIC*니다/EF*./SF	주/B-NNG 방/I-NNG 을/B-JKO @B@ 주/B-NNG 인/I-NNG 과/B-JKB @B@ 거/B-NNG 실/I-NNG 을/B-JKO @B@ 주/B-NNG 인/I-NNG 과/B-JKB 함/B-MAG 께/I-MAG @B@ 사/B-NNG 용/I-NNG 합/B-XSV:DIC 니/I-EF 다/I-EF ./B-SF	합|니/EF@B-XSV:DIC=하/XSV+ㅂ/EF	-
구어	klue-dp-v1_dev_01008_airbnb	버스로 10분내에 도착하고, 위치가 매우 정확해요.	버스/NNG*로/JKB 10/SN*분/NNB*내/NNB*에/JKB 도착/NNG*하/XSV*고/EC*,/SP 위치/NNG*가/JKS 매우/MAG 정확/NNG*하/XSA+아/EF*요/EF*./SF	버스/NNG*로/JKB 10/SN*분/NNB*내/NNB*에/JKB 도착/NNG*하/XSV*고/EC*,/SP 위치/NNG*가/JKS 매우/MAG 정확/NNG*해/XSA:DIC*요/EF*./SF	버/B-NNG 스/I-NNG 로/B-JKB @B@ 1/B-SN 0/I-SN 분/B-NNB 내/B-NNB 에/B-JKB @B@ 도/B-NNG 착/I-NNG 하/B-XSV 고/B-EC ,/B-SP @B@ 위/B-NNG 치/I-NNG 가/B-JKS @B@ 매/B-MAG 우/I-MAG @B@ 정/B-NNG 확/I-NNG 해/B-XSA:DIC 요/I-EF ./B-SF	해|요/EF@B-XSA:DIC=하/XSA+아/EF	-
구어	klue-dp-v1_dev_01009_airbnb	집은 깨끗하고 청결, 고풍스러운 느낌도 납니다.	집/NNG*은/JX 깨끗하/VA*고/EC 청결/NNG*,/SP 고풍/NNG*스럽/XSA*ㄴ/ETM 느낌/NNG*도/JX 나/VV+ㅂ/EF*니다/EF*./SF	집/NNG*은/JX 깨끗하/VA*고/EC 청결/NNG*,/SP 고풍/NNG*스러/XSA:DIC*운/ETM:DIC 느낌/NNG*도/JX 납/VV:DIC*니다/EF*./SF	집/B-NNG 은/B-JX @B@ 깨/B-VA 끗/I-VA 하/I-VA 고/B-EC @B@ 청/B-NNG 결/I-NNG ,/B-SP @B@ 고/B-NNG 풍/I-NNG 스/B-XSA 러/I-XSA:DIC 운/B-ETM:DIC @B@ 느/B-NNG 낌/I-NNG 도/B-JX @B@ 납/B-VV:DIC 니/I-EF 다/I-EF ./B-SF	러운@I-XSA:DIC=럽/XSA*ㄴ/ETM 납|니/EF@B-VV:DIC=나/VV+ㅂ/EF	-
